股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2330,114/04/01,"33,673,400","31,491,275,577",929.00,946.00,925.00,944.00,+34.00,"73,772"
2330,114/04/02,"28,201,820","26,641,223,575",949.00,952.00,938.00,942.00,-2.00,"61,150"
2330,114/04/07,"37,652,704","32,012,146,992",848.00,848.00,848.00,848.00,-94.00,"219,438"
2330,114/04/08,"136,580,582","111,279,830,476",797.00,843.00,797.00,816.00,-32.00,"425,666"
2330,114/04/09,"122,044,966","97,865,587,721",809.00,826.00,780.00,785.00,-31.00,"518,687"
2330,114/04/10,"28,397,160","24,506,749,080",863.00,863.00,863.00,863.00,+78.00,"32,126"
2317,114/04/01,"61,385,394","9,269,985,746",148.50,153.00,148.00,152.00,+6.00,"42,452"
2317,114/04/02,"38,868,764","5,955,684,019",153.00,154.50,152.00,153.50,+1.50,"31,686"
2317,114/04/07,"30,755,604","4,259,646,765",138.50,138.50,138.50,138.50,-15.00,"39,912"
2317,114/04/08,"308,542,896","39,193,398,694",127.00,130.50,125.00,125.00,-13.50,"184,008"
2317,114/04/09,"366,032,118","42,809,132,937",119.00,122.50,112.50,112.50,-12.50,"219,246"
2317,114/04/10,"36,901,188","4,557,296,036",123.50,123.50,123.50,123.50,+11.00,"15,924"
2454,114/04/01,"6,663,880","9,603,895,550","1,410.00","1,460.00","1,410.00","1,460.00",+70.00,"12,331"
2454,114/04/02,"4,680,070","6,764,240,810","1,460.00","1,460.00","1,435.00","1,435.00",-25.00,"8,403"
2454,114/04/07,"2,148,387","2,782,161,165","1,295.00","1,295.00","1,295.00","1,295.00",-140.00,"14,866"
2454,114/04/08,"19,252,718","24,229,978,295","1,255.00","1,300.00","1,225.00","1,260.00",-35.00,"40,100"
2454,114/04/09,"20,017,897","24,055,879,685","1,250.00","1,255.00","1,140.00","1,185.00",-75.00,"51,334"
2454,114/04/10,"2,039,439","2,651,270,700","1,300.00","1,300.00","1,300.00","1,300.00",+115.00,"4,416"
